Date,Time,Food Name,Serving Size,Serving Qty,Serving Weight (g),Calories (kcal),Fat (g),Carbs (g),Protein (g),Alcohol (g),"B12, Cobalamin (mcg)","B1, Thiamine (mg)","B2, Riboflavin (mg)","B3, Niacin (mg)","B5, Pantothenic Acid (mg)","B6, Pyridoxine (mg)",Caffeine (mg),Calcium (mg),Cholesterol (mg),Choline (mg),Copper (mg),Cysteine (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Saturated Fat (g),Trans Fat (g),Fiber (g),Folate (mcg),Histidine (g),Iron (mg),Isoleucine (g),Leucine (g),Lysine (g),Magnesium (mg),Manganese (mg),Methionine (g),Omega-3 ALA (g),Omega-3 DHA (g),Omega-3 EPA (g),Omega-3 (g),Omega-6 (g),Phenylalanine (g),Phosphorus (mg),Potassium (mg),Selenium (mcg),Sodium (mg),Starch (g),Sugars (g),Sugars Added (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Vitamin A (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
2025-10-02,8:00 AM,"Eggs, Cooked",large,3,50,233,16,2,19,,1.7,0.1,0.8,0.1,2.1,0.2,,75,560,441,0,0.4,6.1,2.1,4.9,,,66,0.4,1.8,1,1.6,1.4,15,0,0.6,0,0.1,0,0.1,2,1,258,189,46.2,186,,1.7,,0.9,0.2,0.8,1.2,224,,3.3,1.5,0.4,112,1.6
2025-10-02,8:00 AM,Kinder Bueno,wafer,1,20,110,7,11,2,,,,,,,,,47,5,,,,,,3,,,,,,,,,,,,,,,,,,,68,,25,,9,,,,,,,,,,,,
2025-10-02,8:00 AM,"Milk, Whole",oz,4,28.35,68,4,5,4,,0.6,0.1,0.2,0.1,0.4,0.1,,139.5,14,20,0,0,0.8,0.1,2.1,,,,0.1,,0.2,0.4,0.3,13.6,,0.1,0,,0,0,0.1,0.2,114.5,170.1,2.2,43.1,,5.3,,0.2,0,0.2,0.2,35.8,,1.1,0.1,0.3,100,0.5
2025-10-02,8:00 AM,Spinach Cooked Boiled Drained With Salt,cup,1,180,41,0,7,5,,,0.2,0.4,0.9,0.3,0.4,,244.8,,35,0.3,0.1,0,0.2,0.1,,4.3,262.8,0.1,6.4,0.3,0.4,0.3,156.6,1.7,0.1,,,,,,0.2,100.8,838.8,2.7,550.8,,0.8,,0.2,0.1,0.2,0.3,943.2,17.6,,3.7,889.2,164,1.4
2025-10-02,11:25 AM,2% milk,splash,1,15.25,8,0,1,1,,0.1,0,0,0,0.1,0,,18.3,1,3,0,0,0.1,0,0.2,0,,0.8,0,0,0,0,0,1.7,0,0,0,,,,,0,14,21.4,0.4,7.2,,0.8,,0,0,0,0,,0,,0,0,14,0.1
2025-10-02,11:25 AM,medium banana,"medium (7 to 7-7/8"" long)""",1,118,105,0,27,1,,,0,0.1,0.8,0.4,0.4,,5.9,,12,0.1,0,0,0.1,0.1,,3.1,23.6,0.1,0.3,0,0.1,0.1,31.9,0.3,0,,,,,,0.1,26,422.4,1.2,1.2,6.3,14.4,,0,0,0,0.1,,10.3,,0.1,0.6,88,0.2
2025-10-02,11:26 AM,Gold Standard 100% Whey Protein Powder Double Rich Chocolate,scoop,1,30,120,2,3,24,,,,,,,,,130,55,,,,,,1,,1,,,0.7,,,,,,,,,,,,,,200,,130,,1,,,,,,,,,,,,
2025-10-02,11:26 AM,Gold Standard 100% Whey Protein Powder Double Rich Chocolate,scoop,1,30,120,2,3,24,,,,,,,,,130,55,,,,,,1,,1,,,0.7,,,,,,,,,,,,,,200,,130,,1,,,,,,,,,,,,
2025-10-02,11:27 AM,The Original Powdered Peanut Butter,tbsp,2,6.5,60,1,5,6,,,,,,,,,10,,,,,,,,,1,,,0.4,,,,,,,,,,,,,,150,,90,,2,,,,,,,,,,,,
2025-10-02,2:11 PM,Turkey Sandwich,sandwich,0.68,255,391,17,27,32,,0.5,0.3,0.5,2.5,0.7,0.2,,409.6,74,68,0.2,0.3,4.2,1.6,8.9,,3.7,40.1,0.7,1.9,1.3,2,1.6,67.9,1.2,0.6,0.1,0,0,0.1,1.1,1.1,428.4,334.1,42.1,1063.1,,5,2.2,1.1,0.4,1,1.4,181.1,4.9,0.3,1.8,13.4,92,3.5
