#,Date,Year,Avg Score,Avg Quality,Avg Duration,Column1,Avg Bedtime,Avg Wake Time
1,May 12-18,2023,66,Fair,5h 40min,340,10:55 PM,5:02 AM
2,May 19-25,2023,60,Fair,6h 28min,388,9:59 PM,4:47 AM
3,May 26 - Jun 1,2023,64,Fair,6h 47min,407,10:07 PM,5:22 AM
4,Jun 2-8,2023,69,Fair,6h 48min,408,9:27 PM,5:10 AM
5,Jun 9-15,2023,75,Fair,7h 18min,438,10:38 PM,6:13 AM
6,Jun 16-22,2023,75,Fair,7h 10min,430,10:00 PM,5:31 AM
7,Jun 23-29,2023,66,Fair,7h 3min,423,10:47 PM,6:04 AM
8,Jun 30 - Jul 6,2023,78,Fair,7h 17min,437,10:38 PM,6:05 AM
9,Jul 7-13,2023,64,Fair,7h 33min,453,10:58 PM,6:54 AM
10,Jul 14-20,2023,71,Fair,6h 43min,403,10:42 PM,5:32 AM
11,Jul 21-27,2023,82,Good,7h 29min,449,10:06 PM,5:53 AM
12,Jul 28 - Aug 3,2023,47,Poor,5h 45min,345,1:19 AM,7:44 AM
13,Aug 4-10,2023,71,Fair,6h 54min,414,11:07 PM,6:35 AM
14,Aug 11-17,2023,67,Fair,7h 9min,429,10:42 PM,6:31 AM
15,Aug 18-24,2023,72,Fair,7h 59min,479,10:10 PM,6:30 AM
16,Aug 25-31,2023,70,Fair,7h 52min,472,10:40 PM,6:47 AM
17,Sep 1-7,2023,72,Fair,7h 19min,439,11:47 PM,7:15 AM
18,Sep 8-14,2023,66,Fair,7h 1min,421,9:57 PM,5:28 AM
19,Sep 15-21,2023,69,Fair,7h 37min,457,10:30 PM,6:15 AM
20,Sep 22-28,2023,67,Fair,7h 33min,453,11:15 PM,6:58 AM
21,Sep 29 - Oct 5,2023,73,Fair,7h 22min,442,10:35 PM,6:08 AM
22,Oct 6-12,2023,72,Fair,7h 14min,434,11:02 PM,6:36 AM
23,Oct 13-19,2023,58,Poor,7h 20min,440,11:04 PM,6:52 AM
24,Oct 20-26,2023,71,Fair,7h 45min,465,10:39 PM,6:35 AM
25,Oct 27 - Nov 2,2023,61,Fair,7h 24min,444,10:56 PM,6:43 AM
26,Nov 3-9,2023,55,Poor,7h 16min,436,10:55 PM,6:31 AM
27,Nov 10-16,2023,58,Poor,6h 24min,384,10:59 PM,5:48 AM
28,Nov 17-23,2023,49,Poor,6h 55min,415,10:39 PM,6:12 AM
29,Nov 24-30,2023,51,Poor,7h 54min,474,10:04 PM,6:19 AM
30,Dec 1-7,2023,56,Poor,7h 46min,466,10:04 PM,6:04 AM
31,Dec 8-14,2023,63,Fair,7h 30min,450,10:42 PM,6:43 AM
32,Dec 15-21,2023,66,Fair,7h 56min,476,10:07 PM,6:22 AM
33,Dec 22-28,2023,82,Good,8h 27min,507,9:54 PM,6:35 AM
34,29-Dec,2024,68,Fair,7h 32min,452,10:56 PM,6:49 AM
35,Jan 5-11,2024,69,Fair,7h 29min,449,10:11 PM,6:14 AM
36,Jan 12-18,2024,70,Fair,8h 1min,481,10:28 PM,6:53 AM
37,Jan 19-25,2024,85,Good,8h 10min,490,10:13 PM,6:35 AM
38,Jan 26 - Feb 1,2024,85,Good,8h 0min,480,10:03 PM,6:15 AM
39,Feb 2-8,2024,83,Good,7h 57min,477,10:07 PM,6:11 AM
40,Feb 9-15,2024,76,Fair,7h 38min,458,10:41 PM,6:21 AM
41,Feb 16-22,2024,80,Good,8h 9min,489,10:11 PM,6:29 AM
42,Feb 23-29,2024,79,Fair,8h 24min,504,10:01 PM,6:36 AM
43,Mar 1-7,2024,75,Fair,7h 45min,465,10:45 PM,7:00 AM
44,Mar 8-14,2024,64,Fair,7h 16min,436,10:10 PM,6:11 AM
45,Mar 15-21,2024,74,Fair,7h 28min,448,10:38 PM,6:11 AM
46,Mar 22-28,2024,83,Good,8h 16min,496,10:23 PM,6:57 AM
47,Mar 29 - Apr 4,2024,76,Fair,8h 9min,489,10:17 PM,6:44 AM
48,Apr 5-11,2024,73,Fair,8h 1min,481,10:26 PM,6:42 AM
49,Apr 12-18,2024,76,Fair,7h 35min,455,10:36 PM,6:24 AM
50,Apr 19-25,2024,72,Fair,7h 9min,429,11:00 PM,6:14 AM
51,Apr 26 - May 2,2024,84,Good,8h 1min,481,9:49 PM,6:07 AM
52,May 3-9,2024,85,Good,7h 35min,455,10:25 PM,6:09 AM
